ID,rating
5001,0
5002,1
5003,0
5004,1
5005,1
5006,1
5007,1
5008,1
5009,1
5010,1
5011,0
5012,0
5013,1
5014,0
5015,1
5016,0
5017,1
5018,1
5019,0
5020,1
5021,1
5022,0
5023,1
5024,1
5025,0
5026,1
5027,0
5028,0
5029,1
5030,1
5031,1
5032,1
5033,1
5034,1
5035,0
5036,0
5037,0
5038,1
5039,0
5040,0
5041,1
5042,0
5043,1
5044,0
5045,0
5046,1
5047,1
5048,1
5049,1
5050,1
5051,1
5052,0
5053,1
5054,1
5055,1
5056,1
5057,1
5058,0
5059,1
5060,1
5061,0
5062,1
5063,1
5064,1
5065,1
5066,0
5067,1
5068,1
5069,1
5070,1
5071,0
5072,0
5073,1
5074,0
5075,1
5076,1
5077,1
5078,0
5079,1
5080,1
5081,0
5082,0
5083,1
5084,1
5085,0
5086,1
5087,1
5088,0
5089,1
5090,0
5091,1
5092,1
5093,1
5094,0
5095,0
5096,1
5097,1
5098,1
5099,1
5100,1
5101,1
5102,0
5103,1
5104,1
5105,1
5106,1
5107,0
5108,0
5109,1
5110,1
5111,1
5112,1
5113,1
5114,1
5115,1
5116,1
5117,0
5118,1
5119,0
5120,1
5121,0
5122,1
5123,1
5124,1
5125,1
5126,0
5127,0
5128,1
5129,0
5130,1
5131,0
5132,1
5133,1
5134,0
5135,1
5136,1
5137,1
5138,0
5139,1
5140,1
5141,0
5142,1
5143,0
5144,0
5145,1
5146,1
5147,0
5148,1
5149,1
5150,1
5151,0
5152,0
5153,1
5154,1
5155,0
5156,1
5157,1
5158,1
5159,0
5160,1
5161,0
5162,1
5163,1
5164,0
5165,0
5166,0
5167,1
5168,1
5169,1
5170,1
5171,1
5172,1
5173,0
5174,0
5175,1
5176,1
5177,1
5178,1
5179,0
5180,1
5181,1
5182,0
5183,0
5184,1
5185,0
5186,1
5187,0
5188,1
5189,1
5190,1
5191,0
5192,0
5193,1
5194,1
5195,1
5196,1
5197,0
5198,0
5199,0
5200,1
5201,1
5202,0
5203,0
5204,1
5205,1
5206,1
5207,1
5208,1
5209,1
5210,1
5211,1
5212,1
5213,1
5214,1
5215,0
5216,1
5217,0
5218,0
5219,0
5220,0
5221,1
5222,0
5223,1
5224,1
5225,0
5226,1
5227,1
5228,0
5229,1
5230,1
5231,1
5232,1
5233,1
5234,0
5235,1
5236,1
5237,0
5238,1
5239,1
5240,1
5241,1
5242,0
5243,1
5244,0
5245,1
5246,1
5247,0
5248,0
5249,1
5250,1
5251,0
5252,0
5253,1
5254,1
5255,0
5256,1
5257,1
5258,0
5259,0
5260,1
5261,1
5262,0
5263,0
5264,1
5265,1
5266,1
5267,0
5268,1
5269,1
5270,1
5271,1
5272,1
5273,1
5274,0
5275,0
5276,1
5277,1
5278,1
5279,1
5280,1
5281,1
5282,0
5283,1
5284,1
5285,1
5286,0
5287,0
5288,1
5289,1
5290,1
5291,1
5292,1
5293,0
5294,1
5295,0
5296,0
5297,0
5298,0
5299,1
5300,1
5301,0
5302,0
5303,0
5304,1
5305,1
5306,1
5307,1
5308,1
5309,0
5310,0
5311,0
5312,0
5313,0
5314,1
5315,0
5316,1
5317,1
5318,1
5319,1
5320,1
5321,0
5322,1
5323,1
5324,1
5325,1
5326,1
5327,1
5328,1
5329,1
5330,0
5331,1
5332,1
5333,1
5334,0
5335,1
5336,1
5337,1
5338,0
5339,1
5340,0
5341,1
5342,0
5343,0
5344,0
5345,1
5346,0
5347,1
5348,0
5349,1
5350,1
5351,0
5352,1
5353,1
5354,1
5355,0
5356,1
5357,0
5358,0
5359,1
5360,1
5361,1
5362,1
5363,1
5364,1
5365,1
5366,0
5367,0
5368,1
5369,0
5370,0
5371,1
5372,1
5373,0
5374,1
5375,0
5376,0
5377,1
5378,0
5379,0
5380,1
5381,1
5382,0
5383,1
5384,1
5385,0
5386,0
5387,1
5388,0
5389,1
5390,1
5391,1
5392,1
5393,0
5394,0
5395,1
5396,0
5397,1
5398,1
5399,1
5400,1
5401,1
5402,0
5403,1
5404,1
5405,1
5406,0
5407,1
5408,1
5409,0
5410,1
5411,0
5412,1
5413,1
5414,1
5415,1
5416,0
5417,1
5418,1
5419,1
5420,1
5421,1
5422,0
5423,1
5424,0
5425,1
5426,0
5427,0
5428,1
5429,1
5430,1
5431,1
5432,1
5433,1
5434,0
5435,0
5436,1
5437,0
5438,1
5439,1
5440,1
5441,1
5442,1
5443,1
5444,1
5445,1
5446,0
5447,0
5448,0
5449,1
5450,0
5451,1
5452,1
5453,1
5454,1
5455,1
5456,0
5457,1
5458,1
5459,0
5460,0
5461,1
5462,0
5463,0
5464,1
5465,1
5466,1
5467,1
5468,1
5469,0
5470,1
5471,1
5472,0
5473,0
5474,1
5475,1
5476,1
5477,0
5478,0
5479,1
5480,1
5481,1
5482,1
5483,1
5484,1
5485,0
5486,1
5487,1
5488,1
5489,1
5490,0
5491,1
5492,1
5493,1
5494,1
5495,0
5496,1
5497,1
5498,0
5499,1
5500,0
5501,0
5502,1
5503,0
5504,1
5505,1
5506,1
5507,0
5508,0
5509,0
5510,0
5511,1
5512,0
5513,0
5514,0
5515,1
5516,1
5517,0
5518,0
5519,0
5520,1
5521,0
5522,1
5523,0
5524,1
5525,1
5526,0
5527,0
5528,1
5529,1
5530,0
5531,0
5532,1
5533,1
5534,1
5535,1
5536,0
5537,0
5538,1
5539,1
5540,1
5541,1
5542,1
5543,1
5544,0
5545,1
5546,0
5547,1
5548,0
5549,1
5550,1
5551,1
5552,0
5553,1
5554,1
5555,1
5556,1
5557,1
5558,1
5559,0
5560,0
5561,1
5562,1
5563,0
5564,1
5565,1
5566,1
5567,1
5568,0
5569,1
5570,0
5571,0
5572,1
5573,1
5574,1
5575,1
5576,1
5577,0
5578,0
5579,1
5580,1
5581,1
5582,1
5583,0
5584,1
5585,1
5586,0
5587,0
5588,1
5589,0
5590,0
5591,1
5592,1
5593,1
5594,1
5595,1
5596,0
5597,0
5598,1
5599,1
5600,1
5601,1
5602,1
5603,1
5604,0
5605,1
5606,1
5607,1
5608,1
5609,1
5610,0
5611,1
5612,1
5613,1
5614,0
5615,1
5616,0
5617,1
5618,0
5619,1
5620,0
5621,1
5622,0
5623,1
5624,0
5625,0
5626,1
5627,1
5628,1
5629,1
5630,1
5631,1
5632,1
5633,0
5634,1
5635,0
5636,0
5637,1
5638,1
5639,0
5640,1
5641,1
5642,1
5643,1
5644,0
5645,0
5646,0
5647,1
5648,1
5649,0
5650,0
5651,1
5652,1
5653,1
5654,1
5655,1
5656,1
5657,1
5658,1
5659,1
5660,1
5661,1
5662,0
5663,1
5664,0
5665,1
5666,1
5667,1
5668,1
5669,0
5670,1
5671,0
5672,1
5673,1
5674,1
5675,0
5676,1
5677,0
5678,1
5679,0
5680,0
5681,1
5682,1
5683,0
5684,1
5685,1
5686,1
5687,1
5688,0
5689,1
5690,1
5691,1
5692,0
5693,1
5694,1
5695,1
5696,1
5697,0
5698,1
5699,0
5700,1
5701,0
5702,1
5703,0
5704,0
5705,0
5706,0
5707,0
5708,0
5709,1
5710,1
5711,1
5712,1
5713,1
5714,1
5715,1
5716,1
5717,1
5718,1
5719,0
5720,1
5721,1
5722,1
5723,1
5724,0
5725,0
5726,0
5727,1
5728,0
5729,1
5730,0
5731,1
5732,0
5733,1
5734,1
5735,1
5736,1
5737,0
5738,1
5739,1
5740,0
5741,0
5742,1
5743,1
5744,1
5745,0
5746,0
5747,0
5748,1
5749,0
5750,1
